Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-03-17 00:00:00+05:30,679.8107640967919,680.8231517310326,665.8308230661429,673.6885375976562,15848,0.0,0.0
2017-03-20 00:00:00+05:30,665.4452301015988,686.2704988204606,665.4452301015988,675.761474609375,40223,0.0,0.0
2017-03-21 00:00:00+05:30,667.1807187195581,687.1383040111632,667.1807187195581,680.4375610351562,35792,0.0,0.0
2017-03-22 00:00:00+05:30,670.1693566134396,718.2314601135201,669.2534766133964,700.828857421875,113956,0.0,0.0
2017-03-23 00:00:00+05:30,722.1363017172375,722.1363017172375,705.7460251762589,712.3021240234375,77266,0.0,0.0
2017-03-24 00:00:00+05:30,713.1217163471227,718.2798095619256,698.9971301105987,701.6484985351562,30879,0.0,0.0
2017-03-27 00:00:00+05:30,710.6631087342049,710.6631087342049,690.3681009208121,696.6831665039062,37330,0.0,0.0
2017-03-28 00:00:00+05:30,699.0453919951054,703.4804440013438,689.6932797962461,693.0677490234375,50636,0.0,0.0
2017-03-29 00:00:00+05:30,689.4521392817805,726.9569721247874,688.3916155133928,708.638427734375,111460,0.0,0.0
2017-03-30 00:00:00+05:30,699.9612599806121,731.3438088344963,699.9612599806121,722.618408203125,167534,0.0,0.0
2017-03-31 00:00:00+05:30,727.9211421810193,746.9145930243599,718.2798025494825,740.9369506835938,209190,0.0,0.0
2017-04-03 00:00:00+05:30,737.9481687778317,759.9304116616864,737.5624916489999,742.0939331054688,82989,0.0,0.0
2017-04-05 00:00:00+05:30,745.2755545317411,760.7016979631873,742.383152638345,752.313720703125,73144,0.0,0.0
2017-04-06 00:00:00+05:30,754.1455931029881,756.5559279960263,746.3360727419044,752.5547485351562,27576,0.0,0.0
2017-04-07 00:00:00+05:30,744.6006337493257,800.2311741297258,744.6006337493257,771.7410278320312,143210,0.0,0.0
2017-04-10 00:00:00+05:30,772.2712243057774,818.5496497323409,772.2712243057774,801.6773071289062,139237,0.0,0.0
2017-04-11 00:00:00+05:30,803.2199566590565,820.4779776114004,803.1235668041088,806.9801025390625,70650,0.0,0.0
2017-04-12 00:00:00+05:30,809.8724626456918,810.8365965297938,781.9125800067334,802.9788818359375,63378,0.0,0.0
2017-04-13 00:00:00+05:30,801.1953452085367,819.5138910075285,795.410541272013,802.4005126953125,69551,0.0,0.0
2017-04-17 00:00:00+05:30,808.7636307029217,825.8770059938364,783.8407950148578,791.7467041015625,185980,0.0,0.0
2017-04-18 00:00:00+05:30,797.3388502858069,809.8725927933226,785.7692418173309,788.7098388671875,29033,0.0,0.0
2017-04-19 00:00:00+05:30,792.5180079025058,798.7848777946789,781.189435405116,784.5639038085938,39606,0.0,0.0
2017-04-20 00:00:00+05:30,772.2712623754802,804.0876814246573,772.2712623754802,799.9901123046875,54979,0.0,0.0
2017-04-21 00:00:00+05:30,802.1594703838018,807.9442742567619,786.2512597331615,797.579833984375,67824,0.0,0.0
2017-04-24 00:00:00+05:30,800.2311854929067,826.6484794921836,786.3476329531572,813.3433837890625,36708,0.0,0.0
2017-04-25 00:00:00+05:30,814.7895219161871,814.7895219161871,800.2793187296643,802.9788818359375,58565,0.0,0.0
2017-04-26 00:00:00+05:30,809.7761082170236,810.8366319975005,787.6974177668941,792.1806640625,38898,0.0,0.0
2017-04-27 00:00:00+05:30,792.1806206948937,795.0247685448522,776.1277681627915,777.8150024414062,23310,0.0,0.0
2017-04-28 00:00:00+05:30,781.5751496671511,797.3387149922368,759.7374938499185,777.1882934570312,60316,0.0,0.0
2017-05-02 00:00:00+05:30,781.4304966070562,797.1458668177268,771.5481245031422,782.346435546875,21477,0.0,0.0
2017-05-03 00:00:00+05:30,779.0202259461076,791.0237053057033,768.1737190873283,773.3800659179688,21981,0.0,0.0
2017-05-04 00:00:00+05:30,775.3083457935909,786.7333096564247,773.2354342456528,775.9349975585938,45537,0.0,0.0
2017-05-05 00:00:00+05:30,772.5122401252213,776.1277420290835,761.6657344136347,769.0413818359375,22735,0.0,0.0
2017-05-08 00:00:00+05:30,761.6657865731398,776.1277951789589,761.6657865731398,767.2577514648438,22591,0.0,0.0
2017-05-09 00:00:00+05:30,773.7174313777745,773.7174313777745,763.0155689494784,766.438232421875,26551,0.0,0.0
2017-05-10 00:00:00+05:30,773.0907920221039,790.4934570709815,767.4988268252375,780.611083984375,87953,0.0,0.0
2017-05-11 00:00:00+05:30,779.9843624672587,790.300607460699,765.8115816890606,769.0896606445312,76931,0.0,0.0
2017-05-12 00:00:00+05:30,771.3070925818571,791.7467423044885,754.145521541123,781.7197265625,174006,0.0,0.0
2017-05-15 00:00:00+05:30,786.9261012777754,800.231137334118,785.431705501364,791.5057373046875,115988,0.0,0.0
2017-05-16 00:00:00+05:30,793.4821850539431,794.3499290863516,765.0402355289232,770.24658203125,105251,0.0,0.0
2017-05-17 00:00:00+05:30,777.8149758512906,781.6233162906142,773.2353401087512,778.3934326171875,49075,0.0,0.0
2017-05-18 00:00:00+05:30,763.6904090477367,782.9248913763403,763.6904090477367,775.0189819335938,33203,0.0,0.0
2017-05-19 00:00:00+05:30,772.1266479492188,777.7668668470473,761.9068516490125,772.1266479492188,42123,0.0,0.0
2017-05-22 00:00:00+05:30,772.2713042974677,779.9843760008132,770.8251033530904,776.3206787109375,160897,0.0,0.0
2017-05-23 00:00:00+05:30,780.562797148295,780.9484742542537,757.0861597631515,773.0907592773438,63650,0.0,0.0
2017-05-24 00:00:00+05:30,780.4664048171364,819.5138284058876,766.5828528915993,801.3881225585938,180675,0.0,0.0
2017-05-25 00:00:00+05:30,788.565058239874,797.3386522779069,781.1412162136616,789.8184204101562,36408,0.0,0.0
2017-05-26 00:00:00+05:30,790.4451597284381,792.5180711658984,776.3688282315568,783.937255859375,44836,0.0,0.0
2017-05-29 00:00:00+05:30,790.5897993709843,803.3163786422665,787.9384311413866,788.8543701171875,23886,0.0,0.0
2017-05-30 00:00:00+05:30,788.854355479047,790.9754617925781,781.5751564257108,785.2870483398438,24889,0.0,0.0
2017-05-31 00:00:00+05:30,785.7691314452333,824.0452591879132,774.8262351776422,811.2222900390625,340907,0.0,0.0
2017-06-01 00:00:00+05:30,793.482123612232,814.6930673782942,790.6379171107532,809.9205932617188,81447,0.0,0.0
2017-06-02 00:00:00+05:30,808.9566070580611,843.3280071070567,806.8837543012498,837.3985595703125,101023,0.0,0.0
2017-06-05 00:00:00+05:30,837.8323195310255,843.4242841177166,834.9399179676273,838.555419921875,108736,0.0,0.0
2017-06-06 00:00:00+05:30,843.6171794153961,853.2585186087149,843.6171794153961,848.1486206054688,86146,0.0,0.0
2017-06-07 00:00:00+05:30,848.4377707758559,886.7620905353335,848.4377707758559,867.190185546875,181080,0.0,0.0
2017-06-08 00:00:00+05:30,883.6286962752303,887.0031648371105,843.8581739387837,850.84814453125,72582,0.0,0.0
2017-06-09 00:00:00+05:30,850.2697287718853,866.7563952884456,840.8694230387792,860.5377197265625,66060,0.0,0.0
2017-06-12 00:00:00+05:30,853.2584637979795,865.7922039441645,843.6653201476489,845.2561645507812,14453,0.0,0.0
2017-06-13 00:00:00+05:30,846.5095816821436,860.2966849676626,843.6171799224096,850.1732788085938,27557,0.0,0.0
2017-06-14 00:00:00+05:30,850.1732262544522,875.3853502400514,848.4859919989051,857.645263671875,110920,0.0,0.0
2017-06-15 00:00:00+05:30,858.0791944737801,896.3553231200821,858.0791944737801,887.9673461914062,79187,0.0,0.0
2017-06-16 00:00:00+05:30,887.9673787673883,916.8913976197462,886.3765341920817,903.20068359375,90526,0.0,0.0
2017-06-19 00:00:00+05:30,911.5404279562864,914.2881860944518,896.8855805785871,898.5728149414062,28512,0.0,0.0
2017-06-20 00:00:00+05:30,899.5851037749296,899.5851037749296,865.792223094839,871.5770263671875,19293,0.0,0.0
