Week,Symbol,down,no change,up
2020-03,HDFCBANK.NS,4,0,1
2020-03,TCS.NS,3,0,2
2020-04,HDFCBANK.NS,2,0,3
2020-04,TCS.NS,4,0,1
2020-05,HDFCBANK.NS,2,0,3
2020-05,TCS.NS,1,0,4
2020-06,HDFCBANK.NS,3,0,2
2020-06,TCS.NS,2,0,3
2020-07,HDFCBANK.NS,3,0,1
2020-07,TCS.NS,2,0,2
2020-08,HDFCBANK.NS,4,0,1
2020-08,TCS.NS,4,0,1
2020-09,HDFCBANK.NS,2,0,3
2020-09,TCS.NS,1,0,4
2020-10,HDFCBANK.NS,2,0,2
2020-10,TCS.NS,3,0,1
2020-11,HDFCBANK.NS,4,0,1
2020-11,TCS.NS,4,0,1
2020-12,HDFCBANK.NS,2,0,3
2020-12,TCS.NS,1,0,4
2020-13,HDFCBANK.NS,3,0,1
2020-13,TCS.NS,3,0,1
2020-14,HDFCBANK.NS,1,0,2
2020-14,TCS.NS,1,0,2
2020-15,HDFCBANK.NS,2,0,2
2020-15,TCS.NS,3,0,1
2020-16,HDFCBANK.NS,2,0,3
2020-16,TCS.NS,2,0,3
2020-17,HDFCBANK.NS,1,0,3
2020-17,TCS.NS,0,0,4
2020-18,HDFCBANK.NS,3,0,2
2020-18,TCS.NS,3,0,2
2020-19,HDFCBANK.NS,4,0,1
2020-19,TCS.NS,2,0,3
2020-20,HDFCBANK.NS,3,0,2
2020-20,TCS.NS,0,0,5
2020-21,HDFCBANK.NS,0,0,4
2020-21,TCS.NS,3,0,1
2020-22,HDFCBANK.NS,1,0,4
2020-22,TCS.NS,1,0,4
2020-23,HDFCBANK.NS,3,0,2
2020-23,TCS.NS,2,0,3
2020-24,HDFCBANK.NS,2,0,3
2020-24,TCS.NS,2,0,3
2020-25,HDFCBANK.NS,3,0,2
2020-25,TCS.NS,2,0,3
2020-26,HDFCBANK.NS,2,0,3
2020-26,TCS.NS,2,0,3
2020-27,HDFCBANK.NS,1,0,4
2020-27,TCS.NS,2,0,3
2020-28,HDFCBANK.NS,3,0,2
2020-28,TCS.NS,3,0,2
2020-29,HDFCBANK.NS,2,0,3
2020-29,TCS.NS,3,0,2
2020-30,HDFCBANK.NS,4,0,1
2020-30,TCS.NS,1,0,4
2020-31,HDFCBANK.NS,2,0,3
2020-31,TCS.NS,3,0,2
2020-32,HDFCBANK.NS,3,0,2
2020-32,TCS.NS,5,0,0
2020-33,HDFCBANK.NS,2,0,3
2020-33,TCS.NS,3,0,2
2020-34,HDFCBANK.NS,2,0,3
2020-34,TCS.NS,4,0,1
2020-35,HDFCBANK.NS,2,0,3
2020-35,TCS.NS,2,0,3
2020-36,HDFCBANK.NS,4,0,1
2020-36,TCS.NS,1,0,4
2020-37,HDFCBANK.NS,3,0,2
2020-37,TCS.NS,2,1,2
2020-38,HDFCBANK.NS,3,0,2
2020-38,TCS.NS,2,0,3
2020-39,HDFCBANK.NS,0,0,4
2020-39,TCS.NS,0,0,4
2020-40,HDFCBANK.NS,0,0,5
2020-40,TCS.NS,1,0,4
2020-41,HDFCBANK.NS,3,0,2
2020-41,TCS.NS,3,0,2
2020-42,HDFCBANK.NS,1,0,4
2020-42,TCS.NS,3,0,2
2020-43,HDFCBANK.NS,4,0,1
2020-43,TCS.NS,2,0,3
2020-44,HDFCBANK.NS,0,0,5
2020-44,TCS.NS,1,0,4
2020-45,HDFCBANK.NS,3,0,3
2020-45,TCS.NS,3,0,3
2020-46,HDFCBANK.NS,1,0,3
2020-46,TCS.NS,2,0,2
2020-47,HDFCBANK.NS,2,0,3
2020-47,TCS.NS,3,0,2
2020-48,HDFCBANK.NS,3,0,1
2020-48,TCS.NS,1,0,3
2020-49,HDFCBANK.NS,3,0,2
2020-49,TCS.NS,2,0,3
2020-50,HDFCBANK.NS,2,0,3
2020-50,TCS.NS,1,0,4
2020-51,HDFCBANK.NS,1,0,3
2020-51,TCS.NS,1,0,3
2020-52,HDFCBANK.NS,0,0,4
2020-52,TCS.NS,2,0,2
2021-00,HDFCBANK.NS,1,0,0
2021-00,TCS.NS,0,0,1
2021-01,HDFCBANK.NS,3,0,2
2021-01,TCS.NS,2,0,3
2021-02,HDFCBANK.NS,3,0,2
2021-02,TCS.NS,3,0,2
2021-03,HDFCBANK.NS,3,0,2
2021-03,TCS.NS,2,0,3
2021-04,HDFCBANK.NS,2,0,2
2021-04,TCS.NS,4,0,0
2021-05,HDFCBANK.NS,0,0,5
2021-05,TCS.NS,3,0,2
2021-06,HDFCBANK.NS,2,0,3
2021-06,TCS.NS,3,0,2
2021-07,HDFCBANK.NS,3,0,2
2021-07,TCS.NS,4,0,1
2021-08,HDFCBANK.NS,3,0,2
