Month,Symbol,down,no change,up
2024-09,TCS.NS,14,0,7
2024-10,HDFCBANK.NS,12,0,10
2024-10,TCS.NS,13,0,9
2024-11,HDFCBANK.NS,8,0,11
2024-11,TCS.NS,8,0,11
2024-12,HDFCBANK.NS,13,0,8
2024-12,TCS.NS,12,0,9
2025-01,HDFCBANK.NS,12,0,11
2025-01,TCS.NS,12,0,11
2025-02,HDFCBANK.NS,9,0,11
2025-02,TCS.NS,16,0,4
2025-03,HDFCBANK.NS,7,1,11
2025-03,TCS.NS,7,1,11
2025-04,HDFCBANK.NS,8,0,11
2025-04,TCS.NS,11,0,8
2025-05,HDFCBANK.NS,10,0,11
2025-05,TCS.NS,11,0,10
2025-06,HDFCBANK.NS,9,0,12
2025-06,TCS.NS,10,0,11
2025-07,HDFCBANK.NS,9,0,13
2025-07,TCS.NS,18,0,4
